TmStamp,GHI,DNI,DHI,DNI_extra,amb_temp,sol_azi,sol_zen,albedo,Measured POA,airmass,Hour
2021-05-10 12:44:00-07:00,1114.1834716796875,957.5088500976562,193.16966247558594,1338.992128782401,25.40999984741211,210.81988882529436,19.521324643183533,0.18445420265197754,1121.7984619140625,1.0605185296352968,12.0
2021-05-10 12:45:00-07:00,870.1412963867188,667.4490356445312,219.8323516845703,1338.992128782401,25.209999084472656,211.4562611759023,19.6269724767141,0.1828390210866928,867.5867309570312,1.0612127107574074,12.0
2021-05-10 12:46:00-07:00,1047.8521728515625,900.099365234375,185.8943634033203,1338.992128782401,25.110000610351562,212.08644832046843,19.73455183789345,0.18380878865718842,1096.0567626953125,1.061924224806318,12.0
2021-05-10 12:47:00-07:00,1097.4395751953125,961.4037475585938,174.49850463867188,1338.992128782401,24.969999313354492,212.71044246991733,19.844028761252275,0.18393868207931519,1102.248779296875,1.0626531119576428,12.0
2021-05-10 12:48:00-07:00,1106.6097412109375,960.85546875,185.25010681152344,1338.992128782401,25.290000915527344,213.32823952295848,19.955379475420955,0.184426411986351,1109.4527587890625,1.0633994810289795,12.0
2021-05-10 12:49:00-07:00,1117.0677490234375,956.3418579101562,201.69683837890625,1338.992128782401,25.3700008392334,213.93984136684108,20.06856130497954,0.18486808240413666,1116.394775390625,1.0641633145739222,12.0
2021-05-10 12:50:00-07:00,1115.78759765625,955.9417724609375,202.21463012695312,1338.992128782401,25.43000030517578,214.54525399477956,20.183546448578298,0.18564724922180176,1114.4217529296875,1.064944694633005,12.0
2021-05-10 12:51:00-07:00,1114.6072998046875,940.5109252929688,215.75518798828125,1338.992128782401,25.809999465942383,215.14448771118538,20.300309358508215,0.18603287637233734,1112.7572021484375,1.0657437193527457,12.0
2021-05-10 12:52:00-07:00,1111.157958984375,910.5922241210938,244.49591064453125,1338.992128782401,26.389999389648438,215.737556928855,20.418817249137817,0.186179980635643,1110.3980712890625,1.0665604377356992,12.0
2021-05-10 12:53:00-07:00,1094.4971923828125,922.578857421875,214.58216857910156,1338.992128782401,26.479999542236328,216.32447996253705,20.53902816300824,0.18610823154449463,1096.50927734375,1.0673948342287036,12.0
2021-05-10 12:54:00-07:00,1109.5196533203125,942.2675170898438,210.5679473876953,1338.992128782401,26.479999542236328,216.90527882483445,20.66091826073506,0.1861201375722885,1105.68994140625,1.0682470176854375,12.0
2021-05-10 12:55:00-07:00,679.1444702148438,470.9345397949219,244.5101776123047,1338.992128782401,26.350000381469727,217.47997903075066,20.78445678280515,0.18465155363082886,886.837158203125,1.0691170487853998,12.0
2021-05-10 12:56:00-07:00,624.6514892578125,415.7657165527344,235.56187438964844,1338.992128782401,26.15999984741211,218.04860939476234,20.909615104166605,0.18317358195781708,805.391845703125,1.0700050025776515,12.0
2021-05-10 12:57:00-07:00,1113.2410888671875,951.9356689453125,208.34547424316406,1338.992128782401,25.979999542236328,218.61120184373425,21.036364952806508,0.18440985679626465,1105.504150390625,1.0709109560935437,12.0
2021-05-10 12:58:00-07:00,1103.4375,949.1096801757812,201.04669189453125,1338.992128782401,25.75,219.16779122353574,21.164676197586104,0.18453560769557953,1094.8680419921875,1.071834972294997,12.0
2021-05-10 12:59:00-07:00,1089.47607421875,949.0307006835938,187.99334716796875,1338.992128782401,25.399999618530273,219.7184154880007,21.294518931460573,0.18527181446552277,1082.26953125,1.0727771145827683,12.0
2021-05-10 13:00:00-07:00,1075.2430419921875,951.6325073242188,172.1127471923828,1338.992128782401,25.690000534057617,220.2631140471678,21.42587775636828,0.18541449308395386,1071.585693359375,1.07373755153559,13.0
2021-05-10 13:01:00-07:00,1062.6087646484375,953.7332763671875,158.4626922607422,1338.992128782401,25.969999313354492,220.8019298041052,21.55871354852816,0.18457628786563873,1060.87939453125,1.0747162780686128,13.0
2021-05-10 13:02:00-07:00,1054.2669677734375,955.7787475585938,149.21987915039062,1338.992128782401,25.950000762939453,221.33490750978083,21.692993538456022,0.184458389878273,1054.4786376953125,1.0757133327687256,13.0
2021-05-10 13:03:00-07:00,1047.4849853515625,956.9871215820312,142.04112243652344,1338.992128782401,25.829999923706055,221.86209397055495,21.82869386900569,0.18509268760681152,1049.5477294921875,1.0767288187283328,13.0
2021-05-10 13:04:00-07:00,1039.849365234375,956.5777587890625,135.67776489257812,1338.992128782401,25.799999237060547,222.38353788992185,21.965790983924506,0.18547232449054718,1043.0296630859375,1.0777628407979092,13.0
2021-05-10 13:05:00-07:00,1032.06005859375,954.6298828125,129.31317138671875,1338.992128782401,25.959999084472656,222.8992897209035,22.104260196175133,0.18522125482559204,1037.9949951171875,1.0788154946380517,13.0
2021-05-10 13:06:00-07:00,1024.74072265625,951.1710205078125,126.75943756103516,1338.992128782401,25.969999313354492,223.40940151428447,22.24406930257905,0.18520088493824005,1032.686279296875,1.0798868171404903,13.0
2021-05-10 13:07:00-07:00,1026.361083984375,951.1407470703125,129.18527221679688,1338.992128782401,26.209999084472656,223.9139267823473,22.385199439480346,0.1854671686887741,1036.9498291015625,1.0809769457228815,13.0
2021-05-10 13:08:00-07:00,985.2503051757812,888.179931640625,143.9934539794922,1338.992128782401,26.219999313354492,224.41292036349137,22.52761694387958,0.18526744842529297,1039.27734375,1.0820859023434044,13.0
2021-05-10 13:09:00-07:00,383.79730224609375,185.87802124023438,181.77996826171875,1338.992128782401,25.950000762939453,224.90643829254873,22.671295884121207,0.18133051693439484,387.2878112792969,1.0832137663027606,13.0
2021-05-10 13:10:00-07:00,259.8324890136719,92.90821075439453,152.50978088378906,1338.992128782401,26.09000015258789,225.39453800681093,22.816224557885477,0.181315615773201,274.1044616699219,1.0843607281779337,13.0
2021-05-10 13:11:00-07:00,571.2723999023438,478.5852966308594,139.08160400390625,1338.992128782401,26.209999084472656,225.87727691739263,22.962370770858357,0.1828135848045349,568.5093383789062,1.0855268161695988,13.0
2021-05-10 13:12:00-07:00,1017.2548828125,954.9761962890625,123.45545959472656,1338.992128782401,26.09000015258789,226.35471426466907,23.109706764269063,0.18573464453220367,1032.2974853515625,1.086712090670393,13.0
2021-05-10 13:13:00-07:00,1003.572021484375,955.4531860351562,109.84093475341797,1338.992128782401,26.15999984741211,226.82690969783744,23.25821730379738,0.18543297052383423,1020.0380249023438,1.0879167114531687,13.0
2021-05-10 13:14:00-07:00,999.1259765625,955.480712890625,105.77058410644531,1338.992128782401,26.290000915527344,227.29392350180922,23.40787708458781,0.18528218567371368,1015.8580932617188,1.0891407562105857,13.0
2021-05-10 13:15:00-07:00,997.9340209960938,953.3628540039062,107.76554107666016,1338.992128782401,26.350000381469727,227.7558165044993,23.558661137644506,0.18516840040683746,1016.8242797851562,1.0903843032351763,13.0
2021-05-10 13:16:00-07:00,999.2754516601562,951.3338012695312,112.42066192626953,1338.992128782401,26.360000610351562,228.21264998039726,23.71054773087853,0.18511690199375153,1017.716796875,1.0916474556388593,13.0
2021-05-10 13:17:00-07:00,1015.5716552734375,951.8580322265625,128.65090942382812,1338.992128782401,26.0,228.6644855678124,23.863508897824516,0.18522268533706665,1032.3114013671875,1.0929302626065711,13.0
2021-05-10 13:18:00-07:00,235.243896484375,85.37684631347656,148.98106384277344,1338.992128782401,25.670000076293945,229.11138518649096,24.017531037653498,0.17984513938426971,316.72265625,1.094232892035288,13.0
2021-05-10 13:19:00-07:00,562.115966796875,408.8359375,177.76150512695312,1338.992128782401,25.700000762939453,229.5534109599179,24.17259982841658,0.18263691663742065,506.0336608886719,1.0955555063489593,13.0
2021-05-10 13:20:00-07:00,1052.427001953125,948.1068725585938,174.19601440429688,1338.992128782401,26.030000686645508,229.99062514619203,24.32869370624249,0.18612845242023468,1066.9219970703125,1.0968982058795809,13.0
2021-05-10 13:21:00-07:00,1036.1856689453125,947.2814331054688,159.70928955078125,1338.992128782401,26.110000610351562,230.4230903533593,24.485781690350464,0.18653827905654907,1045.1533203125,1.0982610072073187,13.0
2021-05-10 13:22:00-07:00,1029.3426513671875,945.080810546875,156.8553009033203,1338.992128782401,25.81999969482422,230.85086832199698,24.64384128191635,0.186574324965477,1034.0257568359375,1.099643996823076,13.0
2021-05-10 13:23:00-07:00,1021.9287719726562,944.8473510742188,150.64694213867188,1338.992128782401,26.200000762939453,231.27402160435,24.80287429965621,0.1867150217294693,1025.8914794921875,1.1010474745108016,13.0
2021-05-10 13:24:00-07:00,1011.1685180664062,945.0872802734375,142.0629425048828,1338.992128782401,26.540000915527344,231.6926123443643,24.962847411430673,0.18661393225193024,1015.7868041992188,1.1024714309334556,13.0
2021-05-10 13:25:00-07:00,999.1840209960938,947.6742553710938,128.12986755371094,1338.992128782401,26.899999618530273,232.10670251990464,25.123743210459935,0.18606771528720856,1006.0591430664062,1.1039159946804304,13.0
2021-05-10 13:26:00-07:00,990.1928100585938,950.1063232421875,117.96549224853516,1338.992128782401,27.0,232.51635388930208,25.28553762959079,0.18591195344924927,1000.4064331054688,1.1053812328784924,13.0
2021-05-10 13:27:00-07:00,984.8075561523438,949.373046875,113.15672302246094,1338.992128782401,26.780000686645508,232.92162794892013,25.44821139412163,0.18591439723968506,995.5615234375,1.106867253565531,13.0
2021-05-10 13:28:00-07:00,983.329345703125,951.7518920898438,110.70111846923828,1338.992128782401,26.3700008392334,233.32258589022592,25.611749518212264,0.18563097715377808,993.5319213867188,1.1083742028275119,13.0
2021-05-10 13:29:00-07:00,981.7276000976562,953.1980590820312,108.76753234863281,1338.992128782401,26.260000228881836,233.71928855984447,25.77614513048404,0.18531747162342072,991.5325317382812,1.1099023021703107,13.0
2021-05-10 13:30:00-07:00,979.8790283203125,954.1280517578125,106.52912139892578,1338.992128782401,26.100000381469727,234.1117964263616,25.941374002489326,0.18474413454532623,989.6567993164062,1.111451611916356,13.0
2021-05-10 13:31:00-07:00,977.3186645507812,954.9024658203125,104.37394714355469,1338.992128782401,26.25,234.5001695424936,26.1074273736466,0.18433116376399994,987.975830078125,1.1130223359012348,13.0
2021-05-10 13:32:00-07:00,971.863037109375,953.8141479492188,100.9113998413086,1338.992128782401,26.260000228881836,234.88446777369583,26.274279493108693,0.1840498447418213,982.79931640625,1.1146145167325103,13.0
2021-05-10 13:33:00-07:00,967.9152221679688,952.212158203125,99.1784896850586,1338.992128782401,26.209999084472656,235.2647497412285,26.44191595563575,0.1838095784187317,979.2667846679688,1.116228302589237,13.0
2021-05-10 13:34:00-07:00,966.1261596679688,951.1817016601562,100.17424011230469,1338.992128782401,26.25,235.64107434181096,26.61032461006169,0.18355269730091095,978.3427124023438,1.1178638632486984,13.0
2021-05-10 13:35:00-07:00,966.6505737304688,950.6930541992188,102.17855072021484,1338.992128782401,26.260000228881836,236.0134996934871,26.779487590533464,0.1833028644323349,980.4683227539062,1.1195213125979901,13.0
2021-05-10 13:36:00-07:00,965.1939697265625,948.6123657226562,103.31803894042969,1338.992128782401,26.25,236.3820833691989,26.94939018016875,0.18332885205745697,979.19921875,1.1212007941184587,13.0
2021-05-10 13:37:00-07:00,959.0762939453125,941.505615234375,105.98529815673828,1338.992128782401,26.200000762939453,236.74688238033792,27.120017294225796,0.1837797611951828,976.8803100585938,1.1229024469742361,13.0
2021-05-10 13:38:00-07:00,963.3348388671875,947.2556762695312,105.79994201660156,1338.992128782401,26.0,237.10795315875353,27.291352078715697,0.18360471725463867,977.269775390625,1.124626391638241,13.0
2021-05-10 13:39:00-07:00,958.664794921875,944.0703125,106.24231719970703,1338.992128782401,26.079999923706055,237.46535154060388,27.463390305983424,0.18359200656414032,973.3772583007812,1.126372875833227,13.0
2021-05-10 13:40:00-07:00,962.7784423828125,942.1103515625,112.53599548339844,1338.992128782401,26.1200008392334,237.81913275527313,27.636110968466788,0.1832352876663208,976.9642944335938,1.1281419776890556,13.0
2021-05-10 13:41:00-07:00,876.2294311523438,853.5023803710938,118.76229858398438,1338.992128782401,26.209999084472656,238.16935140926165,27.809502682036268,0.1810002475976944,932.0366821289062,1.1299338721339356,13.0
2021-05-10 13:42:00-07:00,953.9473266601562,945.7791137695312,105.21173858642578,1338.992128782401,26.229999542236328,238.51606147825026,27.98354947109388,0.18310576677322388,966.691162109375,1.1317486863870787,13.0
2021-05-10 13:43:00-07:00,951.4598999023438,946.7399291992188,104.07405090332031,1338.992128782401,26.229999542236328,238.85931629730723,28.158239568300637,0.18318039178848267,963.2543334960938,1.1335865907735334,13.0
2021-05-10 13:44:00-07:00,945.8096923828125,944.826416015625,100.62361907958984,1338.992128782401,26.34000015258789,239.19916877920764,28.33356352701486,0.183411106467247,957.7669067382812,1.135447780537162,13.0
2021-05-10 13:45:00-07:00,945.17578125,944.6749267578125,100.9457778930664,1338.992128782401,26.540000915527344,239.53567050114495,28.509508298114838,0.18350070714950562,957.1282348632812,1.1373324132035925,13.0
2021-05-10 13:46:00-07:00,944.0541381835938,943.372314453125,102.92027282714844,1338.992128782401,26.81999969482422,239.86887306289205,28.68606166417112,0.18346792459487915,955.8821411132812,1.1392406549696934,13.0
2021-05-10 13:47:00-07:00,943.8389282226562,943.7941284179688,102.92924499511719,1338.992128782401,26.780000686645508,240.19882717133552,28.863202086188288,0.18330137431621552,955.754150390625,1.1411725698431614,13.0
2021-05-10 13:48:00-07:00,941.1952514648438,941.3449096679688,104.4436264038086,1338.992128782401,26.760000228881836,240.52558286563112,29.040926065876405,0.18313069641590118,953.126708984375,1.1431284174641507,13.0
2021-05-10 13:49:00-07:00,940.839111328125,941.902099609375,106.04499816894531,1338.992128782401,26.729999542236328,240.8491895144124,29.219221476140525,0.1829851120710373,951.6071166992188,1.1451083645339526,13.0
2021-05-10 13:50:00-07:00,936.2703857421875,936.9904174804688,106.63294219970703,1338.992128782401,26.719999313354492,241.1696958168805,29.39807789148727,0.18289066851139069,947.50244140625,1.1471125967829605,13.0
2021-05-10 13:51:00-07:00,929.0140991210938,928.1502685546875,108.12416076660156,1338.992128782401,26.469999313354492,241.48714979870448,29.577477886378162,0.18277950584888458,937.7914428710938,1.1491412209691934,13.0
2021-05-10 13:52:00-07:00,935.5732421875,939.5568237304688,106.55885314941406,1338.992128782401,26.729999542236328,241.80159881476362,29.757429509157568,0.1825389862060547,944.2055053710938,1.1511946334802423,13.0
2021-05-10 13:53:00-07:00,938.0245361328125,945.9925537109375,105.0580825805664,1338.992128782401,26.90999984741211,242.1130895495854,29.937907574429474,0.18252615630626678,945.5908813476562,1.1532728544803066,13.0
2021-05-10 13:54:00-07:00,937.0031127929688,946.1761474609375,104.87706756591797,1338.992128782401,27.040000915527344,242.42166801847122,30.118902534306912,0.18236638605594635,943.7040405273438,1.1553760810052258,13.0
2021-05-10 13:55:00-07:00,935.7200927734375,944.1215209960938,106.50890350341797,1338.992128782401,27.219999313354492,242.72737977618203,30.30040698656299,0.18218041956424713,941.9401245117188,1.1575045362083065,13.0
2021-05-10 13:56:00-07:00,935.9675903320312,942.6682739257812,108.865234375,1338.992128782401,27.190000534057617,243.0302690983395,30.48240414173496,0.18206532299518585,942.3040161132812,1.1596583334070907,13.0
2021-05-10 13:57:00-07:00,936.0693969726562,944.7758178710938,108.58644104003906,1338.992128782401,27.0,243.33038021711792,30.664885644361824,0.18177366256713867,942.3357543945312,1.1618376847873244,13.0
2021-05-10 13:58:00-07:00,934.7246704101562,945.1619262695312,107.97019958496094,1338.992128782401,27.290000915527344,243.62775650273784,30.847858724744235,0.18160979449748993,941.1563110351562,1.16404299255956,13.0
2021-05-10 13:59:00-07:00,931.5011596679688,943.9893188476562,107.5735855102539,1338.992128782401,27.309999465942383,243.9224406732168,31.03129457953512,0.18163514137268066,938.5220336914062,1.1662742268976578,13.0
2021-05-10 14:00:00-07:00,925.86328125,940.9926147460938,105.2437973022461,1338.992128782401,27.010000228881836,244.21447480138522,31.21518264605905,0.18166927993297577,933.0576782226562,1.1685315751408039,14.0
2021-05-10 14:01:00-07:00,918.7171020507812,935.2190551757812,105.48765563964844,1338.992128782401,27.049999237060547,244.5039003167608,31.39953152478624,0.18168121576309204,926.047607421875,1.1708154634255667,14.0
2021-05-10 14:02:00-07:00,919.4098510742188,932.9693603515625,110.35527801513672,1338.992128782401,27.209999084472656,244.7907580132325,31.58432675876803,0.18154798448085785,926.6819458007812,1.1731260373568027,14.0
2021-05-10 14:03:00-07:00,482.0951843261719,401.1686706542969,131.8115997314453,1338.992128782401,27.09000015258789,245.07508805435367,31.76954900400213,0.17968373000621796,557.0812377929688,1.175463379162807,14.0
2021-05-10 14:04:00-07:00,770.721923828125,747.2952880859375,133.52725219726562,1338.992128782401,27.020000457763672,245.35692997941948,31.955198762055126,0.17499512434005737,774.277587890625,1.177827821206033,14.0
